"store_type","product_category","country","years","months","actual_value","pct_overstock","prev_overstock","change_overstock","pct_slow_movers","prev_slow_movers","change_slow_movers","classification","ranking"
"Store","Music, Movies and Audio Books","Poland ","Year 2007","June","2345.08","69.00","0.00","69.00","23.00","0.00","23.00","WORST","1"
"Store","Cameras and camcorders ","Switzerland ","Year 2007","December","919.50","100.00","40.00","60.00","100.00","0.00","100.00","WORST","1"
"Store","Audio","Bhutan","Year 2007","June","1964.88","62.00","40.00","22.00","75.00","100.00","-25.00","WORST","2"
"Store","Cameras and camcorders ","Thailand","Year 2008","April","7255.83","100.00","100.00","0.00","27.00","33.00","-6.00","WORST","1"
"Store","Audio","Thailand","Year 2007","November","2049.00","58.00","18.00","40.00","25.00","59.00","-34.00","WORST","1"
"Store","Music, Movies and Audio Books","Switzerland ","Year 2007","August","2090.21","61.00","23.00","38.00","30.00","29.00","1.00","WORST","2"
"Store","Audio","Poland ","Year 2007","May","9180.96","60.00","57.00","3.00","10.00","0.00","10.00","WORST","1"
"Store","Music, Movies and Audio Books","Australia","Year 2007","January","393.0","100.00","","","25.00","","","WORST","1"
"Store","Music, Movies and Audio Books","Italy    ","Year 2009","April","16901.31","80.00","84.00","-4.00","15.00","5.00","10.00","WORST","2"
"Store","Cameras and camcorders ","Poland ","Year 2007","November","6620.40","66.00","0.00","66.00","16.00","0.00","16.00","WORST","1"
"Store","Music, Movies and Audio Books","India","Year 2008","April","4206.52","70.00","71.00","-1.00","29.00","20.00","9.00","WORST","1"
"Store","Audio","India","Year 2008","April","9833.84","70.00","86.00","-16.00","18.00","11.00","7.00","WORST","2"
"Store","Music, Movies and Audio Books","Italy    ","Year 2009","August","14659.52","66.00","66.00","0.00","19.00","8.00","11.00","WORST","2"
"Online","Audio","Germany","Year 2009","March","64765.41","97.00","92.00","5.00","7.00","0.00","7.00","WORST","4"
"Store","Cameras and camcorders ","India","Year 2008","August","11945.13","100.00","87.00","13.00","33.00","41.00","-8.00","WORST","1"
