"product","actual_value","pct_overstock","actual_value_overstock","solution_layer"
"","540795611.11","89.00","509283375.92","Discount"
"Proseware Projector 1080p DLP86 Silver","53214459.87","99.00","53081984.67","Reduce purchasing"
"Proseware Projector 1080p DLP86 White","52913078.79","99.00","52758248.40","Reduce purchasing"
"Proseware Projector 1080p DLP86 Black","51064221.78","99.00","50930090.64","Reduce purchasing"
"Proseware Projector 1080p LCD86 Black","47951843.94","99.00","47771633.88","Reduce purchasing"
"Contoso Projector 1080p X980 Silver","47457596.94","99.00","47319207.78","Reduce purchasing"
"Contoso Projector 1080p X980 White","47083489.98","99.00","46923810.18","Reduce purchasing"
"Proseware Projector 1080p LCD86 White","47005170.84","98.00","46780858.74","Reduce purchasing"
"Litware Refrigerator 24.7CuFt X980 Grey","46351758.18","98.00","46088823.62","Reduce purchasing"
"Proseware Projector 1080p LCD86 Silver","45952044.54","99.00","45790083.60","Reduce purchasing"
"Contoso Projector 1080p X980 Black","45606071.64","98.00","45412174.74","Reduce purchasing"
"Litware Refrigerator 24.7CuFt X980 Silver","45257611.14","98.00","45129324.52","Reduce purchasing"
"Litware Refrigerator 24.7CuFt X980 Brown","44835643.58","98.00","44597094.08","Reduce purchasing"
"Litware Refrigerator 24.7CuFt X980 Blue","43806169.96","98.00","43592005.52","Reduce purchasing"
"Litware Refrigerator 24.7CuFt X980 Green","42364270.76","99.00","42224321.72","Reduce purchasing"
"Litware Refrigerator 24.7CuFt X980 White","42162828.96","99.00","42085432.90","Reduce purchasing"
"Fabrikam Independent Filmmaker 1"" 25mm X400 Blue","33030979.60","99.00","32976232.12","Reduce purchasing"
"NT Washer & Dryer 27in L2700 Green","32361549.28","96.00","31733971.84","Discount"
"NT Washer & Dryer 27in L2700 Blue","32380007.44","96.00","31715513.68","Discount"
"Fabrikam Independent Filmmaker 1/2'' 3mm X300 Black","30949059.94","98.00","30801237.98","Reduce purchasing"
"NT Washer & Dryer 27in L2700 White","31372719.28","96.00","30745141.84","Discount"
"NT Washer & Dryer 27in L2700 Silver","31192532.48","95.00","30472664.24","Discount"
"Contoso Washer & Dryer 24in M240 Pink","30360429.45","96.00","29778552.57","Discount"
"NT Washer & Dryer 21in E2100 Silver","30291908.16","96.00","29655677.76","Discount"
"Contoso Washer & Dryer 21in E210 Silver","30088139.76","96.00","29532974.94","Discount"
"Contoso Washer & Dryer 21in E210 Red","30037596.12","96.00","29387050.56","Discount"
"Proseware Projector 720p DLP56 White","29481535.60","98.00","29316151.6","Reduce purchasing"
"Litware Washer & Dryer 21in E214 Silver","29785693.14","97.00","29313680.76","Discount"
"Litware Washer & Dryer 21in E214 Blue","29843573.76","96.00","29286778.50","Discount"
"Litware Washer & Dryer 21in E214 White","29628355.68","95.00","28821287.88","Discount"
"Litware Washer & Dryer 21in E214 Green","29400094.08","96.00","28786233.42","Discount"
"Contoso Washer & Dryer 21in E210 Pink","29498735.70","96.00","28779711.66","Discount"
"NT Washer & Dryer 21in E2100 Green","29385687.68","96.00","28776374.72","Discount"
"NT Washer & Dryer 24in M2400 Blue","29090894.55","95.00","28400823.30","Discount"
"Contoso Washer & Dryer 21in E210 Blue","29080527.84","95.00","28400634.36","Discount"
"WWI Projector 720p DLP56 Black","28514958.00","98.00","28390920.0","Reduce purchasing"
"NT Washer & Dryer 21in E2100 Blue","28977847.68","96.00","28375875.84","Discount"
"Contoso Projector 720p M621 Silver","28327522.80","99.00","28317875.4","Reduce purchasing"
"Proseware Projector 720p DLP56 Silver","28426753.20","98.00","28295824.2","Reduce purchasing"
"WWI Projector 720p DLP56 Silver","28289392.60","98.00","28175920.8","Reduce purchasing"
"Contoso Washer & Dryer 24in M240 Silver","28985996.13","94.00","28133245.53","Discount"
"Fabrikam Laptop16W M6080 Black","28233368.10","96.00","28057270.86","Reduce purchasing"
